survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
LONG,ground,England,UK,51.32304544,-0.475226129,250,Yes,1,,,NOWATER,No,
LONG,ground,England,UK,51.32311497,-0.477092424,240,Yes,1,,,,,
LONG,ground,England ,UK,51.35849331,-0.371913328,488,Yes,1,2009,106.68,NOWATER,No,Sandy
SHORT,,England ,UK,51.35849331,-0.371913328,NA,Unsure,,,,,,
LONG,pot,Germany,Europe,51.35949603,6.419377747,180,Yes,1,2006,50,YESWATER,No,Potting mix
LONG,ground,England ,UK,51.37975601,-1.199596077,244,Yes,2,2013,,NOWATER,,
LONG,ground,Belgium,Europe,51.39311137,4.467871459,600,Yes,2,2006,60,YESWATER,No,Sandy
LONG,ground,Belgium,Europe,51.39311137,4.467871459,250,Yes,1,2010,60,YESWATER,No,Sandy
LONG,pot,England,UK,51.39672966,0.031622377,70,Yes,1,2019,60,YESWATER,No,Potting mix
LONG,,England,UK,51.39918543,-0.021015798,244,Yes,3,,,,,
LONG,,England,UK,51.39918543,-0.021015798,244,Yes,3,,,YESWATER,Yes,Potting mix
LONG,ground,England,UK,51.40595753,-0.579171725,325,Yes,2,2014,200,YESWATER,,Loamy
SHORT,,England,UK,51.41014077,0.167477382,100,Unsure,1,,,,,
LONG,pot,England,UK,51.41497911,0.457399066,150,Yes,1,2006,90,YESWATER,Yes,
LONG,pot,England,UK,51.41676021,-0.421029797,152,Yes,1,2014,,YESWATER,,
LONG,ground,England,UK,51.42658621,-0.366508849,170,Yes,2,2004,40,NOWATER,No,Loamy
LONG,ground,England,UK,51.4391355,-2.004343983,609,Yes,3,,,,,
SHORT,ground,England,UK,51.43931035,-2.004710593,800,Yes,1,,,,,
LONG,ground,England,UK,51.44282881,-0.314193865,150,Yes,1,,,,,
LONG,pot,England ,UK,51.44316239,-0.170457538,135,Yes,1,,,YESWATER,No,Potting mix
LONG,pot,England ,UK,51.44327137,-0.170503581,150,Yes,1,2010,40,YESWATER,No,Potting mix
LONG,ground,England ,UK,51.44423814,-2.717723335,420,Yes,1,2008,150,NOWATER,No,
LONG,ground,England,UK,51.45063889,-2.602367245,220,NA,3,,,,,
LONG,ground,England,UK,51.45063889,-2.602367245,210,Yes,3,2018,180,YESWATER,Yes,Peaty
LONG,pot,England,UK,51.45434889,-0.977816236,90,Yes,1,2016,40,YESWATER,No,
LONG,pot,England ,UK,51.45477338,-0.338789336,165,Yes,1,2009,50.8,YESWATER,No,Potting mix
SHORT,ground,England,UK,51.4565405,-0.981617491,300,Yes,1,,,,,
LONG,ground,England,UK,51.46139946,-0.176576408,135,Yes,1,2014,20,YESWATER,No,Loamy
SHORT,ground,England ,UK,51.46162493,-0.304380564,300,Yes,1,,,,,
LONG,ground,England ,UK,51.46397895,-2.622460183,250,Yes,2,2011,100,NOWATER,No,Clay
LONG,ground,England ,UK,51.46690297,-2.527977712,220,Yes,1,2009,50,NOWATER,No,Clay
SHORT,ground,England ,UK,51.47542266,-0.284576924,300,Yes,,,,,,
LONG,,England ,UK,51.4773705,-2.625496889,96,Yes,,2006,83.82,YESWATER,No,Loamy
SHORT,ground,England,UK,51.47759571,-2.627143717,450,Yes,1,,,,,
SHORT,ground,England,UK,51.47885737,-0.296549322,250,Unsure,1,,,,,
SHORT,ground,England ,UK,51.47892589,-0.295694203,200,Yes,1,,,,,
SHORT,,England,UK,51.47900055,-0.15681997,165,Yes,1,,,,,
LONG,,England,UK,51.4791971,-2.628507153,180,Yes,,,,,,
LONG,ground,England ,UK,51.48109316,-0.163535765,360,Yes,1,,,NOWATER,No,
SHORT,,England ,UK,51.48136929,-0.163373776,360,Yes,1,,,NOWATER,No,
LONG,pot,England,UK,51.4842164,-1.085656608,91,Yes,1,,,,,
LONG,ground,England ,UK,51.48441163,-0.162811034,244,Yes,1,2016,,NOWATER,No,Silty
LONG,ground,England,UK,51.48519333,-0.847863374,75,Yes,2,2018,NA,NOWATER,No,
LONG,ground,England ,UK,51.4885132,-0.164164295,200,Yes,1,,,YESWATER,No,
SHORT,ground,England,UK,51.48938877,-0.264798097,400,Yes,1,,,,,
SHORT,pot,England,UK,51.49601228,-0.232433508,100,Unsure,1,,,,,
SHORT,ground,England,UK,51.5012003,-0.145998381,NA,Yes,,,,,,
SHORT,ground,England,UK,51.50670967,-0.127686572,300,Yes,,,,,,
LONG,ground,England ,UK,51.50692934,-0.168222129,500,Yes,1,,,,,
SHORT,ground,England ,UK,51.50713871,-0.123630269,305,Yes,1,,,,,
SHORT,ground,England ,UK,51.50885077,-0.126370709,500,Yes,1,,,,,
LONG,pot,England ,UK,51.50927674,-0.125684007,200,Yes,1,2012,30,YESWATER,No,Potting mix
SHORT,ground,England,UK,51.51013236,-0.126367501,180,Yes,1,,,,,
SHORT,ground,England ,UK,51.51227035,-0.128421551,160,Yes,1,,,,,
SHORT,ground,England ,UK,51.51270212,-0.133225788,300,Yes,1,2013,100,NOWATER,No,
LONG,pot,England ,UK,51.51565122,-0.128290979,102,Yes,1,2002,45.72,YESWATER,Yes,Potting mix
LONG,pot,England ,UK,51.51935674,-0.125161884,70,Yes,1,2018,50,YESWATER,No,Potting mix
SHORT,pot,England ,UK,51.51935674,-0.125161884,100,Unsure,1,,,,,
LONG,ground,England,UK,51.52431562,-0.147226139,150,Yes,1,2013,20,YESWATER,No,Loamy
LONG,pot,England,UK,51.52632236,-0.105905821,150,Yes,1,2010,120,NOWATER,,
LONG,ground,Ireland,UK,51.55653694,-9.262001434,70,Yes,1,2017,30,YESWATER,No,Loamy
LONG,ground,England ,UK,51.58474812,-0.120423847,280,Yes,1,2014,60,YESWATER,No,Clay
LONG,ground,England ,UK,51.58561166,-0.066377551,260,Yes,1,2007,80,NOWATER,No,Loamy
LONG,pot,England ,UK,51.58937806,-0.129513518,198,Yes,1,2010,70,YESWATER,Yes,Potting mix
LONG,ground,England,UK,51.60708029,-2.216395097,450,Yes,3,,,,,
LONG,pot,Germany,Europe,51.61077409,10.21507749,200,Yes,1,2014,35,YESWATER,Yes,Peaty
LONG,pot,England,UK,51.61080522,-0.42989303,40,Yes,1,1998,30,YESWATER,Yes,Potting mix
LONG,ground,Wales,UK,51.61315694,-3.983048652,200,Yes,1,2006,30,,,Clay
LONG,ground,England,UK,51.61788441,-3.979812187,366,Yes,1,,,,,
LONG,ground,Wales,UK,51.62068953,-3.945507628,300,Yes,1,,,,,
LONG,ground,England,UK,51.63796413,-2.350776866,427,Yes,4,,,,,
LONG,pot,Wales,UK,51.65303249,-3.049991192,152,Yes,1,2014,25.4,YESWATER,Yes,
LONG,,England,UK,51.65840974,0.547293014,250,Yes,1,2008,NA,NOWATER,No,Clay
