"pointid","Date","Month","Colony","NestBox","Retrap / new","Sex","Wgt","Age","Breeding status","Pouch","Location","Forest_type","Old_growth","east","north","zone","hemisphere","lat","lon","psf","grid_conv","DEM","Slope","Aspect","TWI","Relative Slope Index 10m Resolution","Valley Depth  10 m Resolution","Slope Length Factor 10 m Resolution","Leo location"
118,"27/3/2007","March","N29","N29","New","Male",132.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",399833,5852628,55,"South",-37.46780573,145.8672674,0.99972359,-0.689116,1425.310059,15.1857996,119.7990036,4.065760136,0.813898027,6.880280018,5.64978981,
120,"27/3/2007","March","N30","N30","New","Male",133.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",399571,5852637,55,"South",-37.46769618,145.8643064,0.99972424,-0.690916,1389.599976,9.206150055,21.06069946,5.388160229,0.624760985,20.13010025,3.988759995,
121,"27/3/2007","March","N30","N30","New","Female",121.0,"Adult",,"Tight & unstained","Lake Mountain","SubAlpine Woodland","No ",399571,5852637,55,"South",-37.46769618,145.8643064,0.99972424,-0.690916,1389.599976,9.206150055,21.06069946,5.388160229,0.624760985,20.13010025,3.988759995,
122,"27/3/2007","March","N30","N30","New","Female",134.0,"Adult","Breeding","Lactating 1 teat","Lake Mountain","SubAlpine Woodland","No ",399571,5852637,55,"South",-37.46769618,145.8643064,0.99972424,-0.690916,1389.599976,9.206150055,21.06069946,5.388160229,0.624760985,20.13010025,3.988759995,
123,"27/3/2007","March","N30","N30","New","Male",139.0,"Adult",,,"Lake Mountain","SubAlpine Woodland","No ",399571,5852637,55,"South",-37.46769618,145.8643064,0.99972424,-0.690916,1389.599976,9.206150055,21.06069946,5.388160229,0.624760985,20.13010025,3.988759995,
124,"17/4/2018","April ","EJ105","EJ105A",,"Male",144.0,,,,"Lake Mountain","SubAlpine Woodland","No ",402233,5850367,55,"South",-37.48843893,145.8941027,0.99971774,-0.673104,1364.540039,9.391839981,209.7039948,8.560850143,0.129264995,29.59840012,10.34370041,
125,"3/5/2018","May","BBRN15","BBRN15",,"Male",149.0,,,,"Baw Baw Resort","Riparian Woodlands","No",434078,5812006,55,"South",-37.8369958,146.2508177,0.99965352,-0.459578,1313.560059,20.57040024,192.845993,5.93227005,0.129942,21.7031002,13.93220043,"Mt Baw Baw"
126,"3/5/2018","May","BBRN15","BBRN15",,"Male",145.0,,,,"Baw Baw Resort","Riparian Woodlands","No",434078,5812006,55,"South",-37.8369958,146.2508177,0.99965352,-0.459578,1313.560059,20.57040024,192.845993,5.93227005,0.129942,21.7031002,13.93220043,"Mt Baw Baw"
127,"3/5/2018","May","BBRN15","BBRN15",,"Female",134.0,,,"Tight & unstained","Baw Baw Resort","Riparian Woodlands","No",434078,5812006,55,"South",-37.8369958,146.2508177,0.99965352,-0.459578,1313.560059,20.57040024,192.845993,5.93227005,0.129942,21.7031002,13.93220043,"Mt Baw Baw"
128,"3/5/2018","May","BBRN29","BBRN29",,"Male",120.0,,,,"Baw Baw Resort","SubAlpine Woodland","No",434987,5812031,55,"South",-37.83683575,146.2611496,0.99965206,-0.453238,1432.439941,6.478620052,29.00349998,7.986330032,0.589716017,22.29840088,14.39869976,"Mt Baw Baw"
129,"3/5/2018","May","BBRN29","BBRN29",,"Male",139.0,,,,"Baw Baw Resort","SubAlpine Woodland","No",434987,5812031,55,"South",-37.83683575,146.2611496,0.99965206,-0.453238,1432.439941,6.478620052,29.00349998,7.986330032,0.589716017,22.29840088,14.39869976,"Mt Baw Baw"
130,"28/5/2018","May","STGW1","STGW1","New","Male",128.0,,,,"St Gwinear","Riparian Woodlands","No ",441567,5812184,55,"South",-37.83590221,146.3359366,0.99964205,-0.407349,1215.680054,10.52560043,103.8040009,7.789509773,0.657485008,5.600190163,10.4914999,"Mt Baw Baw"
